{'timestamp': '2025-06-16 18:47:51', 'symbol': 'intc', 'call_strike': 20.5, 'call_price': 1.0750000000000002, 'put_strike': 20.0, 'put_price': 0.54, 'stock_price': 20.77, 'net_credit': 0.54, 'min_profit': 0.22999999999999954, 'max_profit': 1.3099999999999996, 'min_roi': 1.1369253583786434}
{'timestamp': '2025-06-18 22:41:45', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 8.35, 'put_strike': 207.5, 'put_price': 6.4, 'stock_price': 210.57, 'net_credit': 1.95, 'min_profit': 1.1199999999999932, 'max_profit': 5.019999999999993, 'min_roi': 0.5368612788802576}
{'timestamp': '2025-06-18 22:42:15', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 8.4, 'put_strike': 207.5, 'put_price': 6.35, 'stock_price': 210.64, 'net_credit': 2.05, 'min_profit': 1.0899999999999865, 'max_profit': 5.189999999999986, 'min_roi': 0.5225562107483517}
 timestamp: 2025-06-18 22:42:18  Order_id: 222137, Symbol: orcl, avgFillPrice: 208.62, filled: 1.0
{'timestamp': '2025-06-18 22:47:13', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 6.725, 'put_strike': 207.5, 'put_price': 4.6, 'stock_price': 210.99, 'net_credit': 2.12, 'min_profit': 1.370000000000009, 'max_profit': 5.610000000000009, 'min_roi': 0.655910374874328}
{'timestamp': '2025-06-18 22:47:14', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 8.575, 'put_strike': 207.5, 'put_price': 6.2, 'stock_price': 210.99, 'net_credit': 2.37, 'min_profit': 1.120000000000009, 'max_profit': 5.860000000000009, 'min_roi': 0.5368612788802651}
{'timestamp': '2025-06-18 22:47:43', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 6.725, 'put_strike': 207.5, 'put_price': 4.6, 'stock_price': 210.95, 'net_credit': 2.12, 'min_profit': 1.3299999999999885, 'max_profit': 5.569999999999989, 'min_roi': 0.6368816740889665}
{'timestamp': '2025-06-18 22:47:44', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 8.575, 'put_strike': 207.5, 'put_price': 6.8, 'stock_price': 210.95, 'net_credit': 1.77, 'min_profit': 1.6799999999999886, 'max_profit': 5.219999999999988, 'min_roi': 0.8031360550721813}
{'timestamp': '2025-06-18 22:48:14', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 8.55, 'put_strike': 207.5, 'put_price': 6.65, 'stock_price': 211.01, 'net_credit': 1.9, 'min_profit': 1.609999999999991, 'max_profit': 5.409999999999991, 'min_roi': 0.7699297020706762}
{'timestamp': '2025-06-18 22:48:43', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 6.75, 'put_strike': 207.5, 'put_price': 4.6, 'stock_price': 210.97, 'net_credit': 2.15, 'min_profit': 1.319999999999999, 'max_profit': 5.619999999999999, 'min_roi': 0.6321233598314333}
{'timestamp': '2025-06-18 22:48:43', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 6.75, 'put_strike': 207.5, 'put_price': 4.6, 'stock_price': 210.97, 'net_credit': 2.15, 'min_profit': 1.319999999999999, 'max_profit': 5.619999999999999, 'min_roi': 0.6321233598314333}
{'timestamp': '2025-06-18 22:48:44', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 8.575, 'put_strike': 207.5, 'put_price': 6.55, 'stock_price': 210.97, 'net_credit': 2.02, 'min_profit': 1.4499999999999988, 'max_profit': 5.489999999999998, 'min_roi': 0.6939459200765729}
{'timestamp': '2025-06-18 22:49:13', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 6.75, 'put_strike': 207.5, 'put_price': 4.75, 'stock_price': 210.97, 'net_credit': 2.0, 'min_profit': 1.4699999999999989, 'max_profit': 5.469999999999999, 'min_roi': 0.7034502560176096}
{'timestamp': '2025-06-18 22:49:14', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 8.575, 'put_strike': 207.5, 'put_price': 6.25, 'stock_price': 210.97, 'net_credit': 2.32, 'min_profit': 1.149999999999999, 'max_profit': 5.789999999999999, 'min_roi': 0.5511622334052235}
{'timestamp': '2025-06-18 22:49:43', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 6.800000000000001, 'put_strike': 207.5, 'put_price': 4.55, 'stock_price': 211.1, 'net_credit': 2.25, 'min_profit': 1.3499999999999943, 'max_profit': 5.849999999999994, 'min_roi': 0.64639693559971}
{'timestamp': '2025-06-18 22:49:44', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 8.65, 'put_strike': 207.5, 'put_price': 6.2, 'stock_price': 211.1, 'net_credit': 2.45, 'min_profit': 1.1499999999999941, 'max_profit': 6.0499999999999945, 'min_roi': 0.5511622334052212}
{'timestamp': '2025-06-18 22:50:12', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 6.7, 'put_strike': 207.5, 'put_price': 4.6, 'stock_price': 211.1, 'net_credit': 2.1, 'min_profit': 1.4999999999999942, 'max_profit': 5.699999999999994, 'min_roi': 0.7177033492822938}
{'timestamp': '2025-06-18 22:50:33', 'symbol': 'mu', 'call_strike': 121.0, 'call_price': 8.5, 'put_strike': 120.0, 'put_price': 7.65, 'stock_price': 121.95, 'net_credit': 0.85, 'min_profit': 1.1000000000000028, 'max_profit': 2.800000000000003, 'min_roi': 0.9083402146985984}
{'timestamp': '2025-06-18 22:50:43', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 6.4, 'put_strike': 207.5, 'put_price': 4.6, 'stock_price': 210.94, 'net_credit': 1.8, 'min_profit': 1.6399999999999977, 'max_profit': 5.2399999999999975, 'min_roi': 0.7841637180835793}
{'timestamp': '2025-06-18 22:50:44', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 7.8, 'put_strike': 207.5, 'put_price': 7.75, 'stock_price': 210.91, 'net_credit': 0.05, 'min_profit': 3.3599999999999968, 'max_profit': 3.4599999999999964, 'min_roi': 1.5934743431660803}
{'timestamp': '2025-06-18 22:51:13', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 6.475, 'put_strike': 207.5, 'put_price': 4.7, 'stock_price': 210.73, 'net_credit': 1.77, 'min_profit': 1.4599999999999898, 'max_profit': 4.999999999999989, 'min_roi': 0.6986983154670702}
{'timestamp': '2025-06-18 22:51:14', 'symbol': 'orcl', 'call_strike': 210.0, 'call_price': 7.875, 'put_strike': 207.5, 'put_price': 6.9, 'stock_price': 210.78, 'net_credit': 0.97, 'min_profit': 2.3100000000000014, 'max_profit': 4.250000000000001, 'min_roi': 1.1009961393641874}
 timestamp: 2025-06-18 22:51:31  Order_id: 224889, Symbol: mu, avgFillPrice: 121.1, filled: 1.0
